web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_061_35,WoL,22,19,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_36,WoL,24,31,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_37,WoL,30,43,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_38,WoL,33,49,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_39,WoL,30,46,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_40,WoL,35,58,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_41,WoL,13,11,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_42,WoL,17,16,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_43,WoL,25,26,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_44,WoL,21,23,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_45,WoL,34,50,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_46,WoL,34,45,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_47,WoL,35,57,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_48,WoL,23,32,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_060_01,WoL,50,95,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_02,WoL,50,107,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_03,WoL,58,130,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_04,WoL,67,134,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_05,WoL,87,144,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_06,WoL,71,96,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_07,WoL,68,108,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_08,WoL,47,72,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_09,WoL,58,78,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_10,WoL,39,51,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_11,WoL,34,43,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_12,WoL,37,60,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
