web,plant,symmetry,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_001,Tristagma sessile,actinomorphic,1,1,0.397590361445783,0
M_PL_001,Tropaeolum polyph,zygomorphic,1,1,0.168674698795181,0
M_PL_001,Tropaeolum tricolor,zygomorphic,1,1,0.253012048192771,0
M_PL_002,Senecio erucaeformis,actinomorphic,14,11,1.19047619047619,1
M_PL_002,Calandrinia affinis,actinomorphic,13,11,1.33333333333333,1
M_PL_002,Oxalis compacta,actinomorphic,12,10,1.02380952380952,1
M_PL_002,Senecio sp1 M_PL_002,actinomorphic,11,11,1.23809523809524,1
M_PL_002,Astragalus curvicaulis,zygomorphic,10,8,0.80952380952381,0.5
M_PL_002,Cerastium arvense,actinomorphic,10,10,0.880952380952381,0.5
M_PL_002,Chaetanthera euphrasioides,actinomorphic,10,7,0.857142857142857,1
M_PL_002,Senecio bustillosianus,actinomorphic,10,10,1.02380952380952,1
M_PL_002,Chuquiraga oppositifolia,actinomorphic,6,6,1.0952380952381,1
M_PL_002,Discaria nana,actinomorphic,6,5,0.714285714285714,0
M_PL_002,Laretia acaulis,actinomorphic,6,6,1.19047619047619,1
M_PL_002,Senecio francisci,actinomorphic,6,6,0.880952380952381,1
M_PL_002,Anarthrophyllum cumingii,zygomorphic,5,3,0.0952380952380952,0
M_PL_002,Anarthrophyllum gayanum,zygomorphic,5,5,0.30952380952381,0
M_PL_002,Azorella monantha,actinomorphic,5,5,1,1
M_PL_002,Euphorbia portulacoides,actinomorphic,5,4,0.761904761904762,1
M_PL_002,Loasa caespitosa,actinomorphic,5,3,0.238095238095238,0
M_PL_002,Nassauvia heterophylla,actinomorphic,5,4,0.333333333333333,0
M_PL_002,Tropaeolum polyph,zygomorphic,5,4,0.380952380952381,0
M_PL_002,Berberis empetrifolia,actinomorphic,4,4,0.619047619047619,0
M_PL_002,Nassauvia axillaris,actinomorphic,4,4,0.595238095238095,0.5
M_PL_002,Sanicula graveolens,actinomorphic,4,4,0.595238095238095,0
M_PL_002,Azorella bolacina,actinomorphic,3,3,0.857142857142857,1
M_PL_002,Chaetanthera pusilla,actinomorphic,3,1,0.0714285714285714,0
M_PL_002,Oxalis geminata,actinomorphic,3,3,0.452380952380952,0
M_PL_002,Calandrinia sericea,actinomorphic,2,2,0.547619047619048,0
M_PL_002,Calceolaria biflora,zygomorphic,2,1,0.0238095238095238,0
M_PL_002,Cerastium montioides,actinomorphic,2,2,0.166666666666667,0
M_PL_002,Mutisia sinuata,actinomorphic,2,2,0.261904761904762,0
M_PL_002,Oxalis cinerea,actinomorphic,2,2,0.119047619047619,0
M_PL_002,Ranunculus peduncularis,actinomorphic,2,2,0.476190476190476,0
M_PL_002,Stenodraba stenophylla,actinomorphic,2,1,0.333333333333333,0
M_PL_002,Werneria pygmaea,actinomorphic,2,2,0.69047619047619,1
M_PL_002,Acaena pinnatifida,actinomorphic,1,1,0.19047619047619,0
M_PL_002,Calandrinia dianthoides,actinomorphic,1,1,0.333333333333333,0
M_PL_002,Calceolaria arachnoides,zygomorphic,1,1,0.0238095238095238,0
M_PL_002,Cardamine nivalis,actinomorphic,1,1,0.333333333333333,0
M_PL_002,Chaetanthera apiculata,actinomorphic,1,1,0.0476190476190476,0
M_PL_002,Erigeron andicola,actinomorphic,1,1,0.0714285714285714,0
M_PL_002,Nassauvia pungens,actinomorphic,1,1,0.0476190476190476,0
M_PL_002,Nothoscordum andinum,actinomorphic,1,1,0.119047619047619,0
M_PL_002,Tristagma bivalve,actinomorphic,1,1,0.357142857142857,0
M_PL_002,Viola philippii,zygomorphic,1,1,0.119047619047619,0
M_PL_003,Oxalis compacta,actinomorphic,7,3,0.514285714285714,0
M_PL_003,Phacelia secunda,actinomorphic,6,6,0.542857142857143,0
M_PL_003,Azorella madreporica,actinomorphic,5,4,0.828571428571429,1
M_PL_003,Tropaeolum polyphyllum,zygomorphic,5,5,0.542857142857143,0
M_PL_003,Draba tenuis,actinomorphic,4,2,0.428571428571429,0
M_PL_003,Laretia acaulis,actinomorphic,4,2,0.428571428571429,0
M_PL_003,Nassauvia lagascae,actinomorphic,4,3,0.428571428571429,0
M_PL_003,Nototriche compacta,actinomorphic,4,4,0.571428571428571,0
M_PL_003,Caiophora coronata,actinomorphic,3,3,0.228571428571429,0
M_PL_003,Draba gilliesii,actinomorphic,3,3,0.571428571428571,0
M_PL_003,Junellia uniflora,actinomorphic,3,3,0.771428571428571,1
M_PL_003,Oreopolus glacialis,actinomorphic,3,2,0.371428571428571,0
M_PL_003,Adesmia capitellata,zygomorphic,2,2,0.171428571428571,0
M_PL_003,Adesmia glomerula,zygomorphic,2,2,0.171428571428571,0
M_PL_003,Chaetanthera lycopodioides,actinomorphic,2,2,0.571428571428571,1
M_PL_003,Loasa caespitosa,actinomorphic,2,2,0.2,0
M_PL_003,Nassauvia pungens,actinomorphic,2,2,0.228571428571429,0
M_PL_003,Viola atropurpurea,zygomorphic,2,2,0.6,1
M_PL_003,Acaena pinnatifida,actinomorphic,1,1,0.228571428571429,0
M_PL_003,Calandrinia affinis,actinomorphic,1,1,0.228571428571429,0
M_PL_003,Calandrinia caespitosa,actinomorphic,1,1,0.4,0
M_PL_003,Calandrinia occulta,actinomorphic,1,1,0.4,0
M_PL_003,Calandrinia picta,actinomorphic,1,1,0.4,0
M_PL_003,Calandrinia sericea,actinomorphic,1,1,0.171428571428571,0
M_PL_003,Cardamine nivalis,actinomorphic,1,1,0.4,0
M_PL_003,Chaetanthera flabellata,actinomorphic,1,1,0.4,0
M_PL_003,Erigeron andicola,actinomorphic,1,1,0.228571428571429,0
M_PL_003,Leuceria salina,actinomorphic,1,1,0.171428571428571,0
M_PL_003,Nassauvia pinnigera,actinomorphic,1,1,0.228571428571429,0
M_PL_003,Oxalis sp1 M_PL_003,actinomorphic,1,1,0.4,0
M_PL_003,Pozoa coriacea,actinomorphic,1,1,0.4,0
M_PL_003,Ranunculus peduncularis,actinomorphic,1,1,0.4,0
M_PL_003,Senecio francisci,actinomorphic,1,1,0.171428571428571,0
M_PL_003,Valeriana radicalis,actinomorphic,1,1,0.4,0
M_PL_003,Viola montagnei,zygomorphic,1,1,0.2,0
M_PL_003,Viola philippii,zygomorphic,1,1,0.2,0
M_PL_004,Cornus canadensis,actinomorphic,65,27,4.36363636363636,3
M_PL_004,Maianthemum canadense,actinomorphic,26,18,4.09090909090909,2
M_PL_004,Oxalis montana,actinomorphic,6,4,1.27272727272727,1
M_PL_004,Chimaphila umbellata,actinomorphic,3,3,1,1
M_PL_004,Aralia nudicaulis,actinomorphic,17,13,3.18181818181818,2
M_PL_004,Linnaea borealis,actinomorphic,21,14,3.63636363636364,2
M_PL_004,Clintonia borealis,actinomorphic,15,11,2.90909090909091,2
M_PL_004,Cypripedium acaule,zygomorphic,2,2,1,1
M_PL_004,Pyrola secunda,actinomorphic,4,2,1.27272727272727,1
M_PL_004,Trillium undulatum,actinomorphic,4,4,1.45454545454545,1
M_PL_004,Trientalis borealis,actinomorphic,3,2,0.727272727272727,0
M_PL_004,Medeola virginiana,actinomorphic,1,0,0,0
M_PL_005,Rubus deliciosus,actinomorphic,62,46,4.34736842105263,2
M_PL_005,Geranium caespitosum,actinomorphic,59,45,4.12631578947368,2
M_PL_005,Rosa acicularis,actinomorphic,51,45,4.23157894736842,2
M_PL_005,Pentstemon glaber,zygomorphic,49,43,4.04210526315789,2
M_PL_005,Chamaenerium angustifolium,actinomorphic,47,38,3.77894736842105,2
M_PL_005,Pentstemon gracilis,zygomorphic,39,37,3.43157894736842,1
M_PL_005,Prunus demissa,actinomorphic,39,26,1.82105263157895,1
M_PL_005,Monarda fistulosa,zygomorphic,31,29,2.72631578947368,1
M_PL_005,Mertensia sibirica,actinomorphic,29,26,2.70526315789474,1
M_PL_005,Carduus hookerianus,actinomorphic,28,22,2.43157894736842,1
M_PL_005,Rubus strigosus,actinomorphic,28,27,3.58947368421053,2
M_PL_005,Erigeron macranthus,actinomorphic,22,17,1.36842105263158,1
M_PL_005,Opulaster opulifolius,actinomorphic,18,18,2.23157894736842,1
M_PL_005,Holodiscus dumosus,actinomorphic,17,15,2.37894736842105,1
M_PL_005,Penstemon secundiflorus,zygomorphic,16,16,2.22105263157895,1
M_PL_005,Solidago missouriensis,actinomorphic,15,12,1.8,1
M_PL_005,Frasera speciosa,actinomorphic,14,13,2.2,1
M_PL_005,Stanleya pinnatifida,actinomorphic,14,11,1.12631578947368,1
M_PL_005,Geranium richardsoni,actinomorphic,13,12,1.77894736842105,1
M_PL_005,Potentilla pulcherrima,actinomorphic,13,8,0.694736842105263,0
M_PL_005,Pentstemon glaucus,zygomorphic,12,12,2.02105263157895,1
M_PL_005,Astragalus drummondi,zygomorphic,11,9,1.55789473684211,1
