web,plant,tip_name,symmetry,PC1,PC2,PC3,PC4,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_001,Phacelia secunda,Phacelia_secunda,actinomorphic,-24.6337863574834,12.01314012968,17.111929361105,-1.39723371380603,25,21,1.83132530120482,1
M_PL_001,Senecio bustillosianus,Senecio_bustillosianus,actinomorphic,-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,22,21,2.12048192771084,2
M_PL_001,Stachys albi,Stachys_alba,zygomorphic,-30.9185293323622,15.0384218419801,26.4952494268128,-3.95142887241399,14,14,1.27710843373494,1
M_PL_001,Adesmia conferta,Adesmia_conferta,zygomorphic,8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,13,12,0.975903614457831,1
M_PL_001,Calandrinia affinis,Calandrinia_affinis,actinomorphic,1.83913906330855,-4.65221311162614,2.63016874611776,14.4393429625166,13,9,1.16867469879518,1
M_PL_001,Senecio erucaeformis,Senecio_erucaeformis,actinomorphic,-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,13,10,1.08433734939759,1
M_PL_001,Astragalus curvicaulis,Astragalus_curvicaulis,zygomorphic,8.38712003291249,-39.3920484016223,-2.42422199649519,-25.305645228729,10,8,0.807228915662651,0
M_PL_001,Chaetanthera euphrasioides,Chaetanthera_euphrasioides,actinomorphic,-32.3854282849048,17.5248117706585,-24.0734532111529,-1.45234431685764,10,8,0.72289156626506,0
M_PL_001,Adesmia radicifolia,Adesmia_radicifolia,zygomorphic,8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,9,8,0.927710843373494,1
M_PL_001,Mulinum spinosum,Mulinum_spinosum,actinomorphic,-23.8429487545185,12.172438600592,-7.98280065294781,0.792391463192513,8,7,0.903614457831325,1
M_PL_001,Sisyrinchium arenarium,Sisyrinchium_arenarium,actinomorphic,70.1475399268857,34.3040136345752,-0.78041227550917,-8.37964316712116,8,4,0.530120481927711,0
M_PL_001,Chuquiraga oppositifolia,Chuquiraga_oppositifolia,actinomorphic,-31.3319798278361,16.9307748974794,-22.5185693541445,-1.23292525621578,7,7,0.759036144578313,1
M_PL_001,Scypanthus elegans,Scyphanthus_elegans,actinomorphic,-4.14098064052676,1.72317786567285,2.48440480008887,5.15441296421655,7,6,0.626506024096386,0
M_PL_001,Senecio francisci,Senecio_francisci,actinomorphic,-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,7,6,0.457831325301205,0
M_PL_001,Verbena scoparia,Verbena_scoparia,actinomorphic,-30.4703609448476,14.8275483456405,25.8623757001084,-3.77975616890531,7,6,0.63855421686747,0
M_PL_001,Adesmia aconcaguensis,Adesmia_aconcaguensis,zygomorphic,8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,6,5,0.783132530120482,1
M_PL_001,Berberis empetrifolia,Berberis_empetrifolia,actinomorphic,41.7881388795744,11.3040008515375,0.563668188306026,25.8152903469385,6,6,0.72289156626506,0
M_PL_001,Calandrinia uspallatensis,Calandrinia_uspallatensis,actinomorphic,1.83913906330855,-4.65221311162614,2.63016874611776,14.4393429625166,6,6,0.987951807228916,1
M_PL_001,Cerastium arvense,Cerastium_arvense,actinomorphic,1.47220427499053,-4.80609980463368,2.71894569528573,15.0819854175728,6,4,0.710843373493976,1
M_PL_001,Haplopappus sericeus,Haplopappus_sericeus,actinomorphic,-33.6663008166467,18.251368519996,-25.9889559663101,-1.72176208608517,6,6,0.843373493975904,1
M_PL_001,Hypochoeris sp1 M_PL_001,Hypochoeris,actinomorphic,NA,NA,NA,NA,6,5,0.650602409638554,0
M_PL_001,Mustisia sinuata,Mutisia_sinuata,actinomorphic,-32.3848950222706,17.524551018657,-24.0727313276687,-1.45223396447458,6,5,0.867469879518072,1
M_PL_001,Adesmia brachy,Adesmia,zygomorphic,8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,5,5,0.783132530120482,1
M_PL_001,Alstroemeria pallida,Alstroemeria_pallida,actinomorphic,67.5016376054516,31.9809252944614,-0.629152161749762,-5.31777525981184,5,5,0.385542168674699,0
M_PL_001,Astragalus sp1 M_PL_001,Astragalus,zygomorphic,8.38712003291249,-39.3920484016223,-2.42422199649519,-25.305645228729,5,5,0.481927710843373,0
M_PL_001,Euphorbia portulacoides,Euphorbia_portulacoides,actinomorphic,8.62518114270262,-31.6471608315989,-1.26252683505391,-2.2835327748794,5,3,0.674698795180723,1
M_PL_001,Madia sativa,Madia_sativa,actinomorphic,-33.5901000460956,18.208073628666,-25.8745921716721,-1.70569037836355,5,2,0.168674698795181,0
M_PL_001,Nassauvia heterophylla,Nassauvia_heterophylla,actinomorphic,-32.3865759035012,17.5254479627706,-24.0750894714326,-1.45257753597243,5,3,0.156626506024096,0
M_PL_001,Perezia carthamoides,Perezia_carthamoides,actinomorphic,-32.3852316099327,17.5247012432143,-24.0731713193272,-1.45230445539692,5,5,0.481927710843373,0
M_PL_001,Sisyrinchium junceum,Sisyrinchium_junceum,actinomorphic,70.1475399268857,34.3040136345752,-0.78041227550917,-8.37964316712116,5,4,0.289156626506024,0
M_PL_001,Anarthrophyllum cumingii,Anarthrophyllum_cumingii,zygomorphic,8.55338683572072,-38.3351940233684,-2.30996550203376,-23.6006916051666,4,4,0.265060240963855,0
M_PL_001,Loasa heterophylla,Loasa_heterophylla,actinomorphic,-4.13642261893542,1.72301410405011,2.48385559068058,5.1537487667518,4,4,0.469879518072289,0
