web,connectance,web.asymmetry,links.per.species,nestedness,n.aff,n.hosts,host.sharing,aff.sharing,modularity,z.est,zstar,zstarLO,zstarHI
M_PL_001,0.0425506836397926,0.0918918918918919,1.95135135135135,2.82645197983008,101,84,0.274851485148515,0.487664945496271,0.446094632148743,0.557566926197244,0.590213148878749,0.579443945237258,0.600982352520241
M_PL_002,0.0712209302325581,0.196261682242991,1.83177570093458,7.45440017779312,64,43,0.314980158730159,0.530454042081949,0.47642907500267,0.542925992794619,0.571513384357821,0.542182482461139,0.600844286254503
M_PL_003,0.09,-0.180327868852459,1.32786885245902,5.38842616567456,25,36,0.326666666666667,0.377777777777778,0.572626113891602,0.552455863347487,0.598376867435821,0.572708708357569,0.624045026514072
M_PL_004,0.136437908496732,0.789473684210526,1.46491228070175,10.2827284781925,102,12,0.561056105610561,2.07575757575758,0.451109766960144,0.741093102791822,NA,NA,NA
M_PL_005,0.0349621212121212,0.482479784366577,2.48787061994609,1.72096081497533,275,96,0.324273390842734,0.961842105263158,0.240875095129013,0.58983217037442,0.60130087135901,0.588852424912654,0.613749317805365
M_PL_006,0.140790742526519,0.564102564102564,1.87179487179487,5.72028745362812,61,17,0.940437158469945,1.78676470588235,0.329118967056274,0.596842277805812,NA,NA,NA
M_PL_007,0.147569444444444,0.384615384615385,1.63461538461538,9.51968997690285,36,16,0.677777777777778,1.05833333333333,0.361384093761444,0.607385694651802,0.61081276190337,0.573360231463563,0.648265292343176
M_PL_008,0.253588516746411,0.551020408163265,2.16326530612245,31.5692934243346,38,11,0.800853485064011,2.74545454545455,0.210484176874161,0.481152397089181,0.552612836567987,0.518415732597593,0.586809940538381
M_PL_009,0.0854519774011299,0.661971830985915,1.70422535211268,10.2121801589284,118,24,0.265391858612198,1.30797101449275,0.436266273260117,0.678018114362413,0.723926977725933,0.700302179704677,0.747551775747189
M_PL_010,0.193548387096774,0.420560747663551,4.26168224299065,24.9835881911552,76,31,1.41087719298246,4.76989247311828,0.0249980725347996,0.359172690527944,0.399606632975218,0.375332235999862,0.423881029950575
M_PL_011,0.285714285714286,-0.037037037037037,1.92592592592593,15.3846230985772,13,14,1.23076923076923,1.64835164835165,0.285133123397827,0.407931740623308,0.429681427005634,0.336999612686195,0.522363241325072
M_PL_012,0.0909090909090909,0.30952380952381,1.72619047619048,4.5256361617935,55,29,0.548821548821549,0.88423645320197,0.419762194156647,0.609093851896539,0.615510180432096,0.598210059748355,0.632810301115838
M_PL_013,0.204365079365079,0.723076923076923,1.58461538461538,19.1338908848504,56,9,0.601948051948052,2.63888888888889,0.375860095024109,0.651265056832383,NA,NA,NA
M_PL_014,0.0762026394210302,0.472727272727273,1.62727272727273,4.53540975855435,81,29,0.502469135802469,0.53448275862069,0.440591722726822,0.629266833574749,0.687598758621134,0.662623728355922,0.712573788886347
M_PL_015,0.0336175870527016,0.671267252195734,3.68005018820577,3.1827460080139,666,131,0.244304454830771,2.29958896065766,0.350539535284042,0.501536586887832,0.547124850443797,0.539239597361628,0.555010103525966
M_PL_016,0.0885259991405243,0.746341463414634,2.00975609756098,7.2452936628851,179,26,0.404431611323834,2.38461538461538,0.42068350315094,0.650000685144391,0.634485823918983,0.420849672870799,0.848121974967168
M_PL_017,0.151392405063291,0.519230769230769,2.875,8.56531210011384,79,25,1.00778967867575,3.20666666666667,0.150043070316315,0.465479981390169,0.140221569951668,-7.3465511703502,7.62699431025354
M_PL_018,0.0935286935286935,0.458333333333333,2.65972222222222,11.7909681563575,105,39,0.467948717948718,1.77597840755736,0.24271759390831,0.507958546606912,0.531543839359853,0.505435601287892,0.557652077431813
M_PL_019,0.0776470588235294,0.36,2.112,6.75547506547642,85,40,0.378711484593838,1.08717948717949,0.33648270368576,0.571848828908396,0.601195074853165,0.57060428858394,0.63178586112239
M_PL_020,0.104395604395604,0.63963963963964,1.71171171171171,5.36471062487802,91,20,0.654212454212454,1.13157894736842,0.393891960382462,0.648820487534438,NA,NA,NA
M_PL_021,0.0193646825847712,0.763020833333333,1.55338541666667,0.686233511210905,677,91,0.143038815519215,0.562637362637363,0.577358245849609,0.7939484129048,0.818249238694142,0.804714072610029,0.831784404778256
M_PL_022,0.0878306878306878,0.363636363636364,1.25757575757576,6.5313871429203,45,21,0.353535353535354,0.333333333333333,0.595224261283875,0.698817590569139,0.654661885676717,-0.588195355871301,1.89751912722474
M_PL_023,0.0754830917874396,0.515789473684211,1.31578947368421,4.81111888200949,72,23,0.41510172143975,0.422924901185771,0.538527965545654,0.722453653456768,0.758965902865592,0.610831720436066,0.907100085295118
M_PL_024,0.191919191919192,0.241379310344828,1.31034482758621,22.365613439216,18,11,0.516339869281046,0.854545454545454,0.415512442588806,0.633574644803816,0.627734876810379,0.583687066716218,0.67178268690454
M_PL_025,0.25,0.543859649122807,2.50877192982456,18.4217845775002,44,13,1.2600422832981,3.33333333333333,0.161425977945328,0.457127794205214,0.462611672422261,0.433052677342048,0.492170667502474
M_PL_026,0.035978835978836,-0.320754716981132,1.28301886792453,0.711775175821029,54,105,0.3298392732355,0.625274725274725,0.557646095752716,0.643628665133602,0.62916489584006,0.536852024260963,0.721477767419157
M_PL_027,0.111111111111111,0.538461538461538,1.53846153846154,20.3399494085103,60,18,0.243502824858757,0.875816993464052,0.548993051052094,0.672239084793707,0.622242432401968,0.369546898255393,0.874937966548543
M_PL_028,0.0656255483418143,0.544444444444444,2.07777777777778,5.258436376094,139,41,0.315191325200709,1.00365853658537,0.367003619670868,0.595873892434319,0.589930333454267,0.490090567177167,0.689770099731367
M_PL_029,0.0598408855067451,0.413173652694611,2.07185628742515,4.67664704180265,118,49,0.304650152107779,1.10544217687075,0.413695752620697,0.609391523531214,0.66761149563479,0.638833726728984,0.696389264540597
M_PL_030,0.0734501347708895,0.308641975308642,1.34567901234568,14.8604032062387,53,28,0.201741654571843,0.317460317460317,0.544861555099487,0.661579351567427,0.447678754226208,-1.11827814340577,2.01363565185819
M_PL_031,0.0663265306122449,0.0103092783505155,1.60824742268041,8.48088485159601,49,48,0.256802721088435,0.398049645390071,0.536365926265717,0.555347066753255,0.568893135706604,0.535739714298288,0.60204655711492
M_PL_032,0.281385281385281,0.65,1.625,15.4798239384242,33,7,0.975378787878788,2.76190476190476,0.104615412652493,0.579231478204458,NA,NA,NA
M_PL_033,0.319004524886878,0.446808510638298,3,32.4584523026597,34,13,1.51515151515152,4.06410256410256,0.0729842633008957,0.343091992923824,0.38510906642686,0.344249133607669,0.425968999246052
M_PL_034,0.09375,0.662337662337662,2.02597402597403,5.15332778492216,128,26,0.454109251968504,2.35692307692308,0.42258894443512,0.636918575463647,0.576939673546276,0.0464784684359705,1.10740087865658
M_PL_035,0.0810564663023679,-0.257731958762887,1.83505154639175,6.06305964612882,36,61,0.644444444444444,0.526775956284153,0.434651553630829,0.43305947083148,0.468900001689445,0.445052583144595,0.492747420234294
M_PL_036,0.25,0.0909090909090909,1.36363636363636,26.7380021792992,12,10,0.712121212121212,0.822222222222222,0.38055557012558,0.516281703355412,0.577390128147403,0.515688408407002,0.639091847887804
M_PL_037,0.18,0.6,1.44,31.4646713429253,40,10,0.385897435897436,1.4,0.436631947755814,0.699078309479426,NA,NA,NA
M_PL_038,0.235119047619048,0.68,1.58,33.2058394344006,42,8,0.51219512195122,2.10714285714286,0.391043126583099,0.655341370709949,NA,NA,NA
M_PL_039,0.14878892733564,0.5,1.89705882352941,17.7746380310461,51,17,0.458823529411765,2.05882352941176,0.448981434106827,0.610637968090767,0.57472638518119,0.154752619880347,0.994700150482033
M_PL_040,0.0914194065757819,0.194444444444444,1.58333333333333,6.84531420612118,43,29,0.436323366555925,0.455665024630542,0.503731906414032,0.565897631601356,0.590466421108862,0.528940913299695,0.651991928918029
